La12C6I17       La I  C  12 17  6
HoVO4           O  Ho V   4  1  1
NbCrF6          Cr Nb F   1  1  6
Ba(GaPt)2       Ba Pt Ga  1  2  2
Ca4MgAl3        Mg Ca Al  1  4  3
LiTmSn          Sn Li Tm  1  1  1
Ta4AlC3         Ta Al C   4  1  3
Sb5PO10         O  Sb P  10  5  1
Zn(GaNi)3       Ni Zn Ga  3  1  3
Rb3Mn2Cl7       Mn Rb Cl  2  3  7
LiCa2Ge3        Ge Li Ca  3  1  2
K4Mn3F12        Mn K  F   3  4 12
V2Pb2O7         O  Pb V   7  2  2
Na3CrF6         Cr F  Na  1  6  3
Co2Mo4C         Mo Co C   4  2  1
Co2Mo4N         Mo Co N   4  2  1
ZrP2O7          O  Zr P   7  1  2
Sc7CI12         Sc C  I   7  1 12
Ce5C2Cl9        Cl Ce C   9  5  2
KMnF4           Mn K  F   1  1  4
KBiO2           O  Bi K   2  1  1
KBiO3           O  Bi K   3  1  1
KMnF3           Mn K  F   1  1  3
Ag7NO6          O  N  Ag  6  1  7
DyTlS2          S  Tl Dy  2  1  1
Ho2Ge2Rh        Ge Ho Rh  2  2  1
TlAg3Te2        Tl Te Ag  1  2  3
MgSn4Ru         Mg Sn Ru  1  4  1
TiPbO3          O  Pb Ti  3  1  1
Tl10Hg3Cl16     Hg Tl Cl  3 10 16
Dy3Fe2Si3       Fe Dy Si  2  3  3
Li2CeSb2        Li Ce Sb  2  1  2
Pr4C2Cl5        Cl Pr C   5  4  2
Y2(MoO4)3       O  Mo Y  12  3  2
La3ZrSb5        Zr La Sb  1  3  5
Ce3Ge5Pd14      Ge Ce Pd  5  3 14
Tm6ReO12        O  Re Tm 12  1  6
CoMoO4          O  Mo Co  4  1  1
Ba(IO3)2        Ba O  I   1  6  2
RbReCl4         Cl Re Rb  4  1  1
Zn(Mo4O5)2      O  Mo Zn 10  8  1
Cs4Fe3F10       F  Fe Cs 10  3  4
ZrRu3C          Zr Ru C   1  3  1
GdNiBi          Gd Bi Ni  1  1  1
Pr4MgCo         Co Pr Mg  1  4  1
