1704	P 21 1 1	K (Al Cl4)		Potassium tetrachloroaluminate	Mairesse, G.;  Barbier, P.;  Wignacourt, J.P.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1328-p1330
1726	P 4/n c c Z	Li3 (Th F7)		The crystal structure of Li3 Th F7	Cousson, A.;  Pages, M.;  Chevalier, R.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1776-p1778
1822	P 1 21/m 1	Ca11.44 As16 Si9.04	Ca11+xAs16Si9	Etude d&#39;arseniures et phosphures doubles. Structure de Ca10+x Si12-2x As16 (et P16)	Hamon, M.;  Guyader, J.;  l&#39;Haridon, P.;  Laurent, Y.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p445-p449
1839	P b c a	Ca (B F4)2	Ce(SO4)2	The crystal structure of Ca (B F4)2	Jordan, T.H.;  Dickens, B.;  Schroeder, L.W.;  Brown, W.E.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p669-p672
1845	F m -3 m	Na6 Mn Cl8	Mg6MnO8	The crystal structures of Na6 Mn Cl8 and Na2 Mn3 Cl8 and some isostructural compounds	van Loon, C.J.J.;  Ijdo, D.J.W.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p770-p773
1846	R -3 m H	Na2 Mn3 Cl8	Na2Mn3Cl8	The crystal structures of Na6 Mn Cl8 and Na2 Mn3 Cl8 and some isostructural compounds	van Loon, C.J.J.;  Ijdo, D.J.W.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p770-p773
1984	F d -3 m Z	Li2 (Mn Cl4)	Spinel-Al2MgO4	Some chlorides with the inverse spinel structure: Li2 T Cl4 (T = Mg, Mn, Fe, Cd)	van Loon, C.J.J.;  de Jong, J.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p2549-p2550
2088	P 21 3	Sn2 F3 Cl	SnWO4	Die Kristallstruktur des Dizinn(II)-trifluorid-chlorid	Bergerhoff, G.;  Goost, L.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p1362-p1363
2225	C 1 2/m 1	Rb Cr Cl3	Perovskite-BaBiO3(mS20)	The cooperative Jahn-Teller distorted structures of rubidium chromium(II) trichloride and cesium chromium(II) trichloride	Crama, W.J.;  Maaskant, W.J.A.;  Verschoor, G.C.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1973-p1974
2241	I 4/m m m	Rb3 Mn2 Cl7	Rb3Mn2Cl7	Trirubidium heptachlorodimanganate	Goodyear, J.;  Ali, E.M.;  Sutherland, H.H.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p2617-p2618
2253	P n m a	Rb3 (Bi Br6)		Rubidium hexabromobismuthate(III)	Lazarini, F.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p2288-p2290
2278	P -6 2 m	Cs Cr F4	CsCrF4	Die Kristallstruktur von Cs Cr F4 -  ein neuer Tetrafluorometallat-Typ mit Kettenstruktur	Babel, D.;  Knoke, G.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1978) 442,  p151-p162
2294	P 4/n m m Z	Ba Br F	PbClF/Cu2Sb	Crystal structure of barium bromofluoride	Bhat, T.N.;  Bhat, H.L.;  Rao, A.H.R.;  Srinivasan, M.R.;  Narayanan, P.S.	Current Science (1978) 47,  p204-p206
2307	P 21 21 21	Na Al Cl4	NaAlCl4	X-ray, NMR, and NQR investigations of the crystal structure and charge distribution of sodium tetrachloroaluminate, Na Al Cl4	Scheinert, W.;  Weiss, A.	Zeitschrift fuer Naturforschung, Teil A. Physikalische Chemie, Kosmophysik (2,1947-32,1977) (1976) 31,  p1354-p1369
2343	P n m a	Rb2 Cr F5	K2VO2F3	La structure cristalline de  Rb2 Cr F5	Jacoboni, C.;  de Pape, R.;  Poulain, M.;  le Marouille, J.Y.;  Grandjean, D.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p2688-p2691
2368	P 41 2 2	Th B C		The crystal structure of Th B C	Rogl, P.	Journal of Nuclear Materials (1978) 73,  p198-p203
2419	C 2 2 21	Sn2 F3 I		Etude structurale d&#39;un fluoroiodure d&#39;etain(II)	Vilminot, S.;  Granier, W.;  Al Oraibi, Z.A.;  le Cot, L.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p3308-p3309
2471	I m -3 m	U4 Re7 Si6	Re7U4Si6	Crystal structures of U4 Re7 Si6 and U4 (Re0.17 Si0.83)13	Aksel&#39;rud, L.G.;  Yarmolyuk, Ya.P.;  Gladyshevskii, E.I.	Dopovidi Akademii Nauk Ukrains&#39;koi RSR, Seriya A: Fiziko-Matematichni Ta Tekhnichni Nauki (1978) 40,  p359-p362
2472	I m -3 m	U4 (Re0.17 Si0.83)13	Re7U4Si6	Crystal structures of U4 Re7 Si6 and U4 (Re0.17 Si0.83)13	Aksel&#39;rud, L.G.;  Yarmolyuk, Ya.P.;  Gladyshevskii, E.I.	Dopovidi Akademii Nauk Ukrains&#39;koi RSR, Seriya A: Fiziko-Matematichni Ta Tekhnichni Nauki (1978) 40,  p359-p362
2491	R -3 c H	Cs3 (In2 Cl9)	Cs3Tl2Cl9	A3 In2 Cl9 (A= Cs, Rb, In, Tl) und Cs3 In2 Br9 -x (x= 0, 3, 6, 8, 7)	Meyer, G.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1978) 445,  p140-p146
2514	C 1 2/c 1	Cs (U2 F9)		The crystal structure of cesium nonafluorodiuranate(IV), Cs U2 F9	Rosenzweig, A.;  Ryan, R.R.;  Cromer, D.T.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p460-p462
2525	R 3 m H	Cs Mn Cl3		The crystal structure of Cs Mn Cl3	Goodyear, J.;  Kennedy, D.J.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p744-p748
2552	R -3 H	Na Mn Cl3	Ilmenite-FeTiO3	The crystal structure of Na Mn Cl3	van Loon, C.J.J.;  Verschoor, G.C.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p1224-p1228
2555	R -3 m H	Cs (Mn Cl3)	BaRuO3	The crystal structure of Cs Mn Cl3 and a summary of the structures of R M X3 compounds	Li, T.I.;  Stucky, G.D.;  McPherson, G.L.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p1330-p1335
2563	C 1 2/c 1	Sb2 F4 Cl5		Die Kristallstruktur des Antimonfluoridchlorids Sb2 F4 Cl5 = (Sb(III)2 Sb(V)4 F11 Cl14)(+) (Sb2 F5 Cl6)(-)	Mueller, U.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1978) 447,  p171-p178
2588	P 63/m m c	Cs3 Mo2 Br8		The structure of tricesium octabromodimolybdate, an example of a space group ambiguity	Cotton, F.A.;  Frenz, B.A.;  Mester, Z.C.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p1515-p1519
2590	P 63 m c	Cs (Cr Br3)	CsCrBr3	The effect of exchange coupling on the spectra of transition metal ions. The crystal structure and optical spectrum of Cs Cr Br3	Li, T.I.;  Stucky, G.D.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p1529-p1532
2644	P -3 1 m	Li2 Zr F6	Li2ZrF6	Li2 Zr F6	Brunton, G.	Acta Crystallographica B (24,1968-38,1982) (1973) 29,  p2294-p2296
2711	R -3 m H	K Th6 F25		The crystal structure of alpha K Th6 F25, a polymorph of Cs U6 F25	Brunton, G.	Acta Crystallographica B (24,1968-38,1982) (1972) 28,  p144-p147
2716	P 42/n Z	N4 P4 Br8	PNCl2	The crystal structure of compounds with (N-P)n rings. IX. Octabromocyclotetraphosphazene, N4 P4 Br8	Zoer, H.;  Wagner, A.J.	Acta Crystallographica B (24,1968-38,1982) (1972) 28,  p252-p257
2763	P 1 2/c 1	Tl Be2 F5		Structure du pentafluorodiberyllate Tl Be2 F5	le Fur, Y.	Acta Crystallographica B (24,1968-38,1982) (1972) 28,  p1159-p1163
2782	P 63/m m c	Cs (Mn Br3)	BaNiO3	The crystal structure of Cs Mn Br3	Goodyear, J.;  Kennedy, D.J.	Acta Crystallographica B (24,1968-38,1982) (1972) 28,  p1640-p1641
2801	P 41 3 2	Cs (Be2 F5)		Structure du pentafluorodiberyllate Cs Be2 F5	le Fur, Y.;  Aleonard, S.	Acta Crystallographica B (24,1968-38,1982) (1972) 28,  p2115-p2118
2874	P 1 21 1	Sm Zr F7	SmZrF7	Structure cristalline de Sm Zr F7. Relations structurales avec le type Re O3	Poulain, M.;  Lucas, J.	Journal of Solid State Chemistry (1973) 8,  p132-p141
4001	F m -3 m	K (Ge H3)	NaCl	Praeparative, roentgenographische und 1H-Breitlinienresonanz- Untersuchungen an Germylalkali-Verbindungen, Ge H3 M	Thirase, G.;  Weiss, E.;  Hennig, H.J.;  Lechert, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1975) 417,  p221-p228
4032	P 21 21 21	Tl Cl1.085 Br.915	NaAlCl4	Die Konstitution des valenzgemischten Thalliumchloridbromids und der Mischkristalle im System Tl Cl2 / Tl Br2	Thiele, G.;  Rink, W.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1975) 414,  p47-p55
4033	P n m a	(Er.3 Nd.7) F3	YF3	A New Lanthanoid Double Trifluoride Compound (Er.3 Nd.7) F3	Okamura, K.;  Yajima, S.	Bulletin of the Chemical Society of Japan (1974) 47,  p1531-p1532
4035	I 4/m m m	K2 Mg Cl4	K2MgF4	Crystal Structures of K2 Mg Cl4 And Cs2 Mg Cl4	Gibbons, C.S.;  Reinsborough, V.C.;  Whitla, W.A.	Canadian Journal of Chemistry (1975) 53,  p114-p118
4036	P 63/m m c	Rb Mg Cl3	BaMnO3	Die Struktur des Rb Mg Cl3 und die kristallchemischen Beziehungen zwischen Doppelchloriden des Magnesium und Mangan	Seifert, H.J.;  Fink, H.	Revue de Chimie Minerale (1975) 12,  p466-p475
4037	P n m a	Cs Ga Br4	Barite-BaSO4	Heats of Formation and Crystal Structures of Some Group 3 Tetrahalides. N (M X4)(c) (N=CsorNa, M=AlorGa, and X=ClorBr) and (C6 H5)4 As) (M Cl4)(c) (M=GaorIn). Donor-Acceptor Bond Energies for M X3-X)where M=Al,Ga,In.and X=Cl,Br	Gearhart, R.C.;  Beck, J.D.;  Wood, R.H.	Inorganic Chemistry (1975) 14,  p2413-p2416
4046	P 31	K Tl F4		Die kristallstruktur von K Tl F4	Hebecker, C.	Zeitschrift fuer Naturforschung, Teil B. Anorganische Chemie, Organische Chemie (2,1947-32,1977) (1975) 30,  p305-p312
