1463	R -3 c H	(Ti0.995 V0.005)2 O3	Corundum-Al2O3	Structural changes in the solid solution (Ti1-x Vx)2 O3 as x varies from zero to one	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p145-p154
1464	R -3 c H	(Ti0.99 V0.01)2 O3	Corundum-Al2O3	Structural changes in the solid solution (Ti1-x Vx)2 O3 as x varies from zero to one	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p145-p154
1465	R -3 c H	(Ti0.98 V0.02)2 O3	Corundum-Al2O3	Structural changes in the solid solution (Ti1-x Vx)2 O3 as x varies from zero to one	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p145-p154
1466	R -3 c H	(Ti0.96 V0.04)2 O3	Corundum-Al2O3	Structural changes in the solid solution (Ti1-x Vx)2 O3 as x varies from zero to one	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p145-p154
1467	R -3 c H	(Ti0.93 V0.07)2 O3	Corundum-Al2O3	Structural changes in the solid solution (Ti1-x Vx)2 O3 as x varies from zero to one	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p145-p154
1468	R -3 c H	(Ti0.9 V0.1)2 O3	Corundum-Al2O3	Structural changes in the solid solution (Ti1-x Vx)2 O3 as x varies from zero to one	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p145-p154
1469	R -3 c H	(Ti0.7 V0.3)2 O3	Corundum-Al2O3	Structural changes in the solid solution (Ti1-x Vx)2 O3 as x varies from zero to one	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p145-p154
1470	R -3 c H	(Ti0.5 V0.5)2 O3	Corundum-Al2O3	Structural changes in the solid solution (Ti1-x Vx)2 O3 as x varies from zero to one	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p145-p154
1474	R -3 c H	(Ti0.9962 Sc0.0038)2 O3	Corundum-Al2O3	Structural changes resulting from doping Ti2 O3 with Sc2 O3 or Al2 O3	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p155-p160
1475	R -3 c H	(Ti0.9891 Sc0.0109)2 O3	Corundum-Al2O3	Structural changes resulting from doping Ti2 O3 with Sc2 O3 or Al2 O3	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p155-p160
1476	R -3 c H	(Ti0.9587 Sc0.0413)2 O3	Corundum-Al2O3	Structural changes resulting from doping Ti2 O3 with Sc2 O3 or Al2 O3	Rice, C.E.;  Robinson, W.R.	Journal of Solid State Chemistry (1977) 21,  p155-p160
1485	P 41 2 2	Li2 (Te O4)	TiMn2O4	Etude structurale de Li2 Te O4. Coordination du tellure VI et du lithium par les atomes d&#39;oxygene	Daniel, F.;  Moret, J.;  Philippot, E.;  Maurin, M.	Journal of Solid State Chemistry (1977) 22,  p113-p119
1486	P b c m	K (V O3)	KVO3	The crystal chemistry of the M(+) V O3 (M(+)= Li, Na, K, (N H4), Tl, Rb, and Cs) pyroxenes	Hawthorne, F.C.;  Calvo, C.	Journal of Solid State Chemistry (1977) 22,  p157-p170
1488	P b c m	Rb (V O3)	KVO3	The crystal chemistry of the M(+) V O3 (M(+)= Li, Na, K, (N H4), Tl, Rb, and Cs) pyroxenes	Hawthorne, F.C.;  Calvo, C.	Journal of Solid State Chemistry (1977) 22,  p157-p170
1489	P b c m	Cs (V O3)	KVO3	The crystal chemistry of the M(+) V O3 (M(+)= Li, Na, K, (N H4), Tl, Rb, and Cs) pyroxenes	Hawthorne, F.C.;  Calvo, C.	Journal of Solid State Chemistry (1977) 22,  p157-p170
1492	P 1 21/c 1	Na2 (Te O4)		Etude structurale d&#39;un nouveau tellurate alcalin:  Na2 Te O4 . Evolution de la coordination du tellure(VI) et du cation quand on passe du cation lithium au sodium	Daniel, F.;  Maurin, M.;  Moret, J.;  Philippot, E.	Journal of Solid State Chemistry (1977) 22,  p385-p391
1493	R -3 m H	Rb12 Nb33 O90		Crystal structures of some niobium and tantalum oxides. II. The 4Rb2 O : 11Nb2 O5 phase - a tunnel structure	Fallon, G.D.;  Gatehouse, B.M.	Journal of Solid State Chemistry (1977) 22,  p405-p409
1522	I 4/m c m	Sr (Zr O3)	Perovskite-SrTiO3-Cr3AsN	High-temperature phases of Sr Zr O3	Ahtee, M.;  Glazer, A.M.;  Hewat, A.W.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p752-p758
1523	B m m b	Sr (Zr O3)	Perovskite-NaTaO3	High-temperature phases of Sr Zr O3	Ahtee, M.;  Glazer, A.M.;  Hewat, A.W.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p752-p758
1623	P 1 21/m 1	(U O2) (Se O3)		Uranyl selenite and uranyl tellurite	Loopstra, B.O.;  Brandenburg, N.P.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1335-p1337
1716	P 63/m c m	Rb0.283 (W O3)	RbxWO3	Etude comparative des structures Mx WO3 de type bronze hexagonal. I. Analyse structurale des bronzes de composition M0.30 W O3 . Stereochimie des elements M= Rb, Tl et In	Labbe, P.H.;  Goreaud, M.;  Raveau, B.;  Monier, J.C.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1433-p1438
1728	C 1 2/m 1	K2 Te (Te3 O12)		Structure cristalline d un oxotellurate mixte, Te(IV) et Te(VI): K2 Te(IV) Te3(VI) O12. Pentacoordination du tellure(IV) par les atomes d&#39;oxygene	Daniel, F.;  Moret, J.;  Maurin, M.;  Philippot, E.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p1782-p1786
1883	C m c a	Na2 (W2 O7)	Na2Mo2O7	Disodium ditungstate	Okada, K.;  Morikawa, H.;  Marumo, F.;  Iwai, S.I.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p1200-p1201
1897	P -1	Li2 (W2 O7)	Li2W2O7	The crystal structure of Li2 W2 O7	Morikawa, H.;  Okada, K.;  Marumo, F.;  Iwai, S.I.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p1451-p1454
1898	P 21 m n	Na (V2 O5)	NaV2O5	Affinement de la structure cristalline du bronze Na V2 O5 alpha&#39;	Carpy, A.;  Galy, J.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p1481-p1482
1925	P 4 b m	K2 (V O) (V2 O7)	Ba2TiOSi2O7	Structure cristalline de K2 V3 O8 ou K2 (V O) (V2 O7)	Galy, J.;  Carpy, A.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p1794-p1795
1950	P 1 1 21	La2 (Ti2 O7)	La2Ti2O7(mP44)	Dititanate de lanthane	Gasperin, M.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p2129-p2130
1956	B m m b	Ca (S O4)	CaSO4	Anhydrite: a refinement	Morikawa, H.;  Tomita, T.;  Minato, I.;  Iwai, S.I.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p2164-p2165
1972	R -3 H	Li2 (Cr O4)	Be2SiO4	Refinement of the crystal structure of lithium chromate	Brown, I.D.;  Faggiani, R.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p2364-p2365
1990	C 1 2/m 1	Cr U8 S17	CrU8S17	Structure cristalline de Cr U8 S17	Noel, H.;  Potel, M.;  Padiou, J.	Acta Crystallographica B (24,1968-38,1982) (1975) 31,  p2634-p2637
2024	P -1	D2 (U3 O10)	H2U3O10	The deuterium location in deuterium triuranate, D2 U3 O10, by neutron diffraction	Taylor, J.C.;  Wilson, P.W.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p151-p154
2062	C 2 2 21	Nd Yb S3	NdYbS3	Structure cristalline du sulfure de neodyme et d&#39;ytterbium, Nd Yb S3	Carre, D.;  Laruelle, P.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p952-p954
2105	P n a m	Rb2 (S O4)	K2SO4(beta)	Low-temperature rubidium sulphate	Nord, A.G.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p1640-p1641
2128	P -1	Mo O3 H2 O		Kristallstruktur der &#39;weissen Molybdaensaeure&#39; alpha- Mo O3 H2 O	Boeschen, I.;  Krebs, B.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p1795-p1800
2129	P 1 21/c 1	H2 Te O4	H2TeO4	Structure cristalline de l&#39;acide tetraoxotellurique H2 Te O4	Moret, J.;  Philippot, E.;  Maurin, M.;  Lindqvist, O.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p1813-p1818
2133	F d -3 m S	Na2 (W O4)	Spinel-Al2MgO4	Sodium tungstate	Okada, K.;  Morikawa, H.;  Marumo, F.;  Iwai, S.I.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p1872-p1873
2144	P 1 21/n 1	Ba W O4	PbWO4(mP48)	Ba W O4 - (II) (a high-pressure form)	Kawada, I.;  Kato, K.;  Fujita, T.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p2069-p2071
2170	P 21 21 21	Rb7 Cs11 O3		Structural separation of rubidium and cesium in an alkali metal suboxide	Simon, A.;  Braemer, W.;  Deiseroth, H.J.	Inorganic Chemistry (1978) 17,  p875-p879
2200	P 63/m m c	Rb10 Ta29.2 O78		Nouveaux echangeurs cationiques avec une structure a tunnels entrecroises: les niobates et tantalates A10 M29.2 O78 et A10 M29.2 O78 (H2 O)10	Michel, C.;  Guyomarch, A.;  Raveau, B.	Journal of Solid State Chemistry (1978) 25,  p251-p261
2205	P -1	Ce6 (Mo O4)8 (Mo2 O7)		The crystal structure of a complex cerium(III) molybdate: Ce6 (Mo O4)8 (M O O7)	Gatehouse, B.M.;  Same, R.	Journal of Solid State Chemistry (1978) 25,  p115-p120
2209	P 4/m b m	K6 Ta10.8 O30	K6Ta11-xO30	Crystal structures of some niobium and tantalum oxides. III. K6 Ta0.8 O30 - a partially filled tetragonal tungsten bronze-like structure	Awadalla, A.A.;  Gatehouse, B.M.	Journal of Solid State Chemistry (1978) 23,  p349-p355
2217	P b a m	Ce4 O4 S3	Ce4O4S3	Ce4 O4 S3, ein gemischtvalentes Ceroxidsulfid	Wichelhaus, W.	Angewandte Chemie (German Edition) (1978) 90,  p476-p476
2239	C m c m	U Sc S3	ScUS3	Structure du sulfure mixte d&#39;uranium et de scandium  U Sc S3	Julien, R.;  Rodier, N.;  Tien, V.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p2612-p2614
2298	P 63/m c m	K3 (Nb8 O21)	K3Nb8O21	Sur une nouvelle famille d&#39;oxydes ternaires de niobium, A3 M8 O21 a structure en cages	Groult, D.;  Chailleux, J.M.;  Choisnet, J.;  Raveau, B.	Journal of Solid State Chemistry (1976) 19,  p235-p244
2309	F d -3 m Z	Na2 Ta2 O6	BiTa2O6F	Sur de nouveaux pyrochlores lacunaires riches en sodium Na1+a Ta1+a W1-a O6 synthetises par echange carionique en phase solide	Michel, C.;  Groult, D.;  Chailleux, J.M.;  Raveau, B.	Revue de Chimie Minerale (1976) 13,  p283-p289
2321	P -1	Mg2 V2 O7		Crystal structure of magnesium divanadate,  Mg2 V2 O7	Gopal, R.;  Calvo, C.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p2491-p2493
2340	P 63 m c	K6 Mg O4	K6HgS4	Structure cristalline de K6 Mg O4	Darriet, B.;  Devalette, M.;  Roulleau, F.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p2667-p2669
